"pkg","version"
"base","4.2.1"
"dplyr","1.0.10"
"DT","0.26"
"ggplot2","3.4.0"
"grateful","0.1.11"
"knitr","1.41"
"landscapeR","1.2"
"magrittr","2.0.3"
"markdown","1.1"
"pkgdown","2.0.7"
"raster","3.6.11"
"rasterVis","0.51.4"
"RColorBrewer","1.1.3"
"Rdpack","2.4"
"rgeos","0.6.1"
"rintrojs","0.3.2"
"rmarkdown","2.19"
"sf","1.0.9"
"shiny","1.7.4"
"shinycssloaders","1.0.0"
"shinydashboard","0.7.2"
"shinyjs","2.1.0"
"shinythemes","1.2.0"
"shinyWidgets","0.7.5"
"sp","1.5.1"
"spelling","2.2"
"tidyverse","1.3.2"
